Id,Label,shape
n0,V1,square
n1,V2,square
n2,V3,square
n3,V3A,square
n4,V4,square
n5,V4t,square
n6,VOT,square
n7,VP,square
n8,MT,square
n9,MSTd/p,square
n10,MSTl,square
n11,PO,square
n12,LIP,square
n13,PIP,square
n14,VIP,square
n15,DP,square
n16,7a,square
n17,FST,square
n18,PITd,square
n19,PITv,square
n20,CITd,square
n21,CITv,square
n22,AITd,square
n23,AITv,square
n24,STPp,square
n25,STPa,square
n26,TF,square
n27,TH,square
n28,FEF,square
n29,46,square
n30,3a,circle
n31,3b,circle
n32,1,circle
n33,2,circle
n34,5,circle
n35,Ri,circle
n36,SII,circle
n37,7b,circle
n38,4,circle
n39,6,circle
n40,SMA,circle
n41,Ig,circle
n42,Id,circle
n43,35,circle
n44,36,circle
